Vegetation Type;CO2;Cal_per_hr
Dune fynbos-thicket mos.;300;25,96030289
Dune fynbos-thicket mos.;240;20,51109683
Dune fynbos-thicket mos.;180;14,59284993
Dune fynbos-thicket mos.;400;80
Dune fynbos-thicket mos.;300;61,08306563
Dune fynbos-thicket mos.;240;48,26140431
Dune fynbos-thicket mos.;180;34,33611749
Dune fynbos-thicket mos.;400;9
Dune fynbos-thicket mos.;300;6,871844883
Dune fynbos-thicket mos.;240;5,429407985
Dune fynbos-thicket mos.;180;3,862813217
Dune fynbos-thicket mos.;400;16
Dune fynbos-thicket mos.;300;12,21661313
Dune fynbos-thicket mos.;240;9,652280863
Dune fynbos-thicket mos.;180;6,867223497
Dune fynbos-thicket mos.;400;37
Dune fynbos-thicket mos.;300;28,25091785
Dune fynbos-thicket mos.;240;22,3208995
Dune fynbos-thicket mos.;180;15,88045434
Dune fynbos-thicket mos.;400;160
Dune fynbos-thicket mos.;300;122,1661313
Dune fynbos-thicket mos.;240;96,52280863
Dune fynbos-thicket mos.;180;68,67223497
Dune fynbos-thicket mos.;400;0
Dune fynbos-thicket mos.;300;0
Dune fynbos-thicket mos.;240;0
Dune fynbos-thicket mos.;180;0
Dune fynbos-thicket mos.;400;34
Dune fynbos-thicket mos.;300;25,96030289
Dune fynbos-thicket mos.;240;20,51109683
Dune fynbos-thicket mos.;180;14,59284993
Dune fynbos-thicket mos.;400;401
Dune fynbos-thicket mos.;300;306,1788665
Dune fynbos-thicket mos.;240;241,9102891
Dune fynbos-thicket mos.;180;172,1097889
Dune fynbos-thicket mos.;400;24
Dune fynbos-thicket mos.;300;18,32491969
Dune fynbos-thicket mos.;240;14,47842129
Dune fynbos-thicket mos.;180;10,30083525
Dune fynbos-thicket mos.;400;42
Dune fynbos-thicket mos.;300;32,06860945
Dune fynbos-thicket mos.;240;25,33723726
Dune fynbos-thicket mos.;180;18,02646168
Dune fynbos-thicket mos.;400;0
Dune fynbos-thicket mos.;300;0
Dune fynbos-thicket mos.;240;0
Dune fynbos-thicket mos.;180;0
Dune fynbos-thicket mos.;400;38
Dune fynbos-thicket mos.;300;29,01445617
Dune fynbos-thicket mos.;240;22,92416705
Dune fynbos-thicket mos.;180;16,30965581
Dune fynbos-thicket mos.;400;271
Dune fynbos-thicket mos.;300;206,9188848
Dune fynbos-thicket mos.;240;163,4855071
Dune fynbos-thicket mos.;180;116,313598
Dune fynbos-thicket mos.;400;12
Dune fynbos-thicket mos.;300;9,162459844
Dune fynbos-thicket mos.;240;7,239210647
Dune fynbos-thicket mos.;180;5,150417623
Dune fynbos-thicket mos.;400;200
Dune fynbos-thicket mos.;300;152,7076641
Dune fynbos-thicket mos.;240;120,6535108
Dune fynbos-thicket mos.;180;85,84029371
Dune fynbos-thicket mos.;400;18
Dune fynbos-thicket mos.;300;13,74368977
Dune fynbos-thicket mos.;240;10,85881597
Dune fynbos-thicket mos.;180;7,725626434
Dune fynbos-thicket mos.;400;46
Dune fynbos-thicket mos.;300;35,12276274
Dune fynbos-thicket mos.;240;27,75030748
Dune fynbos-thicket mos.;180;19,74326755
Dune fynbos-thicket mos.;400;18
Dune fynbos-thicket mos.;300;13,74368977
Dune fynbos-thicket mos.;240;10,85881597
Dune fynbos-thicket mos.;180;7,725626434
Dune fynbos-thicket mos.;400;0
Dune fynbos-thicket mos.;300;0
Dune fynbos-thicket mos.;240;0
Dune fynbos-thicket mos.;180;0
Dune fynbos-thicket mos.;400;0
Dune fynbos-thicket mos.;300;0
Dune fynbos-thicket mos.;240;0
Dune fynbos-thicket mos.;180;0
Dune fynbos-thicket mos.;400;92
Dune fynbos-thicket mos.;300;70,24552547
Dune fynbos-thicket mos.;240;55,50061496
Dune fynbos-thicket mos.;180;39,48653511
Dune fynbos-thicket mos.;400;0
Dune fynbos-thicket mos.;300;0
Dune fynbos-thicket mos.;240;0
Dune fynbos-thicket mos.;180;0
Dune fynbos-thicket mos.;400;6
Dune fynbos-thicket mos.;300;4,581229922
Dune fynbos-thicket mos.;240;3,619605324
Dune fynbos-thicket mos.;180;2,575208811
Dune fynbos-thicket mos.;400;163
Dune fynbos-thicket mos.;300;124,4567462
Dune fynbos-thicket mos.;240;98,33261129
Dune fynbos-thicket mos.;180;69,95983938
Dune fynbos-thicket mos.;400;173
Dune fynbos-thicket mos.;300;132,0921294
Dune fynbos-thicket mos.;240;104,3652868
Dune fynbos-thicket mos.;180;74,25185406
Dune fynbos-thicket mos.;400;17
Dune fynbos-thicket mos.;300;12,98015145
Dune fynbos-thicket mos.;240;10,25554842
Dune fynbos-thicket mos.;180;7,296424966
Dune fynbos-thicket mos.;400;10
Dune fynbos-thicket mos.;300;7,635383203
Dune fynbos-thicket mos.;240;6,032675539
Dune fynbos-thicket mos.;180;4,292014686
