age;co2
245634;237
246259;230
246940;219
249170;215
251461;200
252202;214
253024;195
253827;197
254657;195
256369;199
257131;202
257978;204
259467;204
260964;210
261364;206
262125;209
262887;215
264654;228
266204;200
267077;212
268328;189
269066;187
270010;194
271106;199
272220;185
273236;190
274234;194
275225;194
276328;198
277513;193
278661;202
279689;205
280629;211
281471;215
282663;224
284505;231
286001;228
286680;226
287514;231
287890;230
288356;231
290255;235
290934;220
291633;217
292888;208
293721;206
294525;207
295434;213
296899;213
298775;217
299446;224
300186;231
301096;236
302154;239
303186;236
304171;240
305170;241
305848;250
306651;249
307533;245
308396;226
309494;228
310081;226
310846;233
311740;238
312663;239
313413;242
314122;252
314906;257
315728;257
316521;247
317220;273
318003;252
318923;245
319900;233
320986;256
321887;249
323453;257
324237;260
325077;260
325893;261
326661;266
327506;264
328157;266
328841;270
329484;272
330123;275
331364;265
332214;272
332869;273
333570;273
334068;282
334419;289
334614;288
335172;299
335778;278
336448;286
336938;279
337587;271
338284;256
339061;242
340054;240
340805;234
342862;250
343994;201
345071;205
346391;205
347615;212
349209;220
351746;221
353245;216
354483;209
355888;209
359080;193
360754;186
362638;186
365260;201
368136;206
371456;202
373528;200
375275;215
377105;225
378830;230
383001;227
384627;240
386354;239
387895;247
389480;246
392357;258
393047;260
394074;274
394976;261
398345;276
399996;277
400780;283
402211;283
402930;276
404383;277
405133;281
406613;280
407352;286
408889;285
409668;275
410524;283
411418;284
413329;275
414281;265
415250;272
416016;276
416495;272
417510;273
418027;272
418575;275
419646;274
420204;271
420772;274
421982;269
422603;266
423295;271
424578;268
425202;268
425811;271
426307;270
426692;265
427225;255
428011;252
428910;248
429248;243
431094;220
432249;227
433920;212
434449;208
436010;210
437555;208
439133;200
440730;202
442301;201
443915;202
445402;199
447289;201
448529;204
449641;208
450713;202
451817;201
452806;205
453846;202
454934;198
456072;193
457184;193
457815;199
458278;204
458864;203
459282;208
460322;202
461356;196
462484;191
463597;194
464669;200
465335;205
465672;210
466702;208
467777;204
468948;203
470110;206
470796;207
471271;216
471895;219
472333;229
472933;233
473288;244
473871;244
474162;246
475044;241
475995;233
477020;233
478011;237
478962;239
479473;237
479846;231
480398;221
480797;219
481733;224
482651;223
483465;227
484250;231
485006;231
485738;231
486469;233
487199;233
487918;231
488635;237
489372;242
489790;241
490096;253
490565;249
490804;243
491521;243
492225;247
492934;244
493663;240
494370;239
495094;238
495796;239
496514;238
497258;236
498036;237
498807;233
499597;231
500375;231
501154;228
501931;231
502708;231
503489;232
504247;232
504982;234
505754;234
506554;236
507382;236
508188;238
509011;237
509855;240
510722;233
511582;236
512434;235
513275;242
514103;238
514918;239
515721;242
516491;243
517225;247
517946;246
518670;246
519399;245
520143;248
520892;246
521644;244
523872;242
524641;237
525407;236
526177;234
526966;230
527769;228
528587;225
529473;223
530361;221
531271;220
532149;221
532663;215
533058;211
533624;204
534002;200
534738;195
535114;194
535765;191
536248;200
537404;199
538511;205
539584;206
540654;213
541724;211
542810;205
543915;204
544956;208
545935;210
546900;210
547877;210
548841;205
549790;203
550301;209
550653;214
551451;215
552181;220
552752;222
553091;222
553316;226
553689;222
553879;220
554550;224
555228;224
555912;227
556477;234
556993;241
557269;243
557455;249
557727;244
557908;251
558225;246
558376;240
558848;238
559386;235
559707;230
559943;230
560507;230
561036;228
561521;232
561958;232
562380;235
562726;234
563205;240
563606;242
563998;246
564381;246
564794;248
565204;251
565609;252
565966;253
566315;251
566659;254
566988;254
567309;254
567619;255
567955;253
568274;254
568604;253
569000;253
569385;250
569754;251
570137;250
570533;251
570932;252
571331;252
571703;250
572045;252
572386;250
572740;246
573124;248
573546;249
573983;249
574435;252
574876;252
575304;252
575725;249
576183;253
576669;253
577185;251
577724;251
578266;251
578812;249
579351;253
579903;251
580281;244
580472;244
580884;236
581189;230
581617;225
581998;219
582525;215
582906;210
583644;207
584029;211
586791;224
587242;226
587959;234
588349;239
589011;246
589495;250
590110;248
590559;244
591089;237
592453;226
